Player,Rate,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,qb_Cmp,qb_Att,qb_Inc,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_TD%,qb_Int%,qb_Y/A,qb_AY/A,qb_Y/C,qb_Y/G,Pos,Team,rb_rush_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y/A,rb_rush_TD,rb_rec_Rec,rb_rec_Y/R,rb_rec_TD,rb_rec_Y/G,rec_Y/G,rec_Rec,rec_Yds,rec_Y/R,rec_TD,Sk,Solo,Ast,Comb,TFL,Sk/G,Int,IntTD,PD,name_norm,position,college,college_norm,player_id
J.J. Watt,,HTX,1,11,2011,Wisconsin,2007,2007,14.0,,,,,,,,,,,,,,TE,Central Michigan,,,,,,,,,,5.5,8.0,77.0,9.6,0.0,,,,,,,,,,j j watt,TE,Wisconsin,wisconsin,
J.J. Watt,,HTX,1,11,2011,Wisconsin,2009,2010,26.0,,,,,,,,,,,,,,DL,Wisconsin,,,,,,,,,,,,,,,11.0,74.0,32.0,106.0,36.5,0.4230769230769231,,,,j j watt,DL,Wisconsin,wisconsin,
Christian Ponder,132.1,MIN,1,12,2011,Florida State,2007,2010,35.0,596.0,965.0,369.0,61.8,6872.0,49.0,30.0,5.1,3.1,7.1,6.74,11.5,196.3,QB,Florida State,,,,,,,,,,,,,,,,,,,,,,,,christian ponder,QB,Florida State,florida state,
Nick Fairley,,DET,1,13,2011,Auburn,2009,2010,27.0,,,,,,,,,,,,,,DL,Auburn,,,,,,,,,,,,,,,13.0,50.0,38.0,88.0,27.5,0.4814814814814814,,,,nick fairley,DL,Auburn,auburn,
Robert Quinn,,RAM,1,14,2011,North Carolina,2008,2009,25.0,,,,,,,,,,,,,,DL,North Carolina,,,,,,,,,,,,,,,13.0,57.0,29.0,86.0,25.5,0.52,,,,robert quinn,DL,North Carolina,north carolina,
Mike Pouncey,,MIA,1,15,2011,Florida,2007,2007,13.0,,,,,,,,,,,,,,OL,Florida,,,,,,,,,,,,,,,,,,,,,,,,mike pouncey,OL,Florida,florida,
Ryan Kerrigan,,WAS,1,16,2011,Purdue,2007,2010,48.0,,,,,,,,,,,,,,DL,Purdue,,,,,,,,,,,,,,,33.0,134.0,76.0,210.0,57.0,0.6875,,,,ryan kerrigan,DL,Purdue,purdue,
Nate Solder,,NWE,1,17,2011,Colorado,2007,2007,12.0,,,,,,,,,,,,,,TE,Colorado,,,,,,,,,,4.2,3.0,50.0,16.7,0.0,,,,,,,,,,nate solder,TE,Colorado,colorado,
Nate Solder,,NWE,1,17,2011,Colorado,2009,2010,12.0,,,,,,,,,,,,,,OL,Colorado,,,,,,,,,,,,,,,,,,,,,,,,nate solder,OL,Colorado,colorado,
Corey Liuget,,SDG,1,18,2011,Illinois,2008,2010,36.0,,,,,,,,,,,,,,DL,Illinois,,,,,,,,,,,,,,,8.0,57.0,68.0,125.0,25.5,0.2222222222222222,,,,corey liuget,DL,Illinois,illinois,
Prince Amukamara,,NYG,1,19,2011,Nebraska,2007,2010,49.0,,,,,,,,,,,,,,DB,Nebraska,,,,,,,,,,,,,,,,,,,,,5.0,0.0,15.0,prince amukamara,DB,Nebraska,nebraska,
Adrian Clayborn,,TAM,1,20,2011,Iowa,2007,2010,50.0,,,,,,,,,,,,,,DL,Iowa,,,,,,,,,,,,,,,19.0,73.0,119.0,192.0,37.5,0.38,,,,adrian clayborn,DL,Iowa,iowa,
Phil Taylor,,CLE,1,21,2011,Baylor,2009,2010,25.0,,,,,,,,,,,,,,DL,Baylor,,,,,,,,,,,,,,,2.0,46.0,41.0,87.0,9.5,0.08,,,,phil taylor,DL,Baylor,baylor,
Anthony Castonzo,,CLT,1,22,2011,Boston College,2007,2009,26.0,,,,,,,,,,,,,,OL,Boston College,,,,,,,,,,,,,,,,,,,,,,,,anthony castonzo,OL,Boston College,boston college,
Danny Watkins,,PHI,1,23,2011,Baylor,2009,2009,12.0,,,,,,,,,,,,,,OL,Baylor,,,,,,,,,,,,,,,,,,,,,,,,danny watkins,OL,Baylor,baylor,
Cameron Jordan,,NOR,1,24,2011,California,2007,2010,50.0,,,,,,,,,,,,,,DL,California,,,,,,,,,,,,,,,16.0,88.0,87.0,175.0,34.0,0.32,,,,cameron jordan,DL,California,california,
James Carpenter,,SEA,1,25,2011,Alabama,2009,2009,14.0,,,,,,,,,,,,,,OL,Alabama,,,,,,,,,,,,,,,,,,,,,,,,james carpenter,OL,Alabama,alabama,
Jonathan Baldwin,,KAN,1,26,2011,Pitt,2008,2010,39.0,,,,,,,,,,,,,,WR,Pitt,,,,,,,,,,59.9,128.0,2337.0,18.3,16.0,,,,,,,,,,jonathan baldwin,WR,Pitt,pitt,
Jimmy Smith,,RAV,1,27,2011,Colorado,2007,2010,41.0,,,,,,,,,,,,,,DB,Colorado,,,,,,,,,,,,,,,,,,,,,3.0,1.0,9.0,jimmy smith,DB,Colorado,colorado,
Mark Ingram,,NOR,1,28,2011,Alabama,2008,2010,39.0,,,,,,,,,,,,,,RB,Alabama,83.6,572.0,3261.0,5.7,42.0,60.0,11.2,4.0,17.2,,,,,,,,,,,,,,,mark ingram,RB,Alabama,alabama,81.0
Gabe Carimi,,CHI,1,29,2011,Wisconsin,2010,2010,,,,,,,,,,,,,,,OL,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,gabe carimi,OL,Wisconsin,wisconsin,
Muhammad Wilkerson,,NYJ,1,30,2011,Temple,2008,2010,36.0,,,,,,,,,,,,,,DL,Temple,,,,,,,,,,,,,,,17.0,88.0,56.0,144.0,26.0,0.4722222222222222,,,,muhammad wilkerson,DL,Temple,temple,
Cameron Heyward,,PIT,1,31,2011,Ohio State,2007,2010,52.0,,,,,,,,,,,,,,DL,Ohio State,,,,,,,,,,,,,,,15.0,80.0,83.0,163.0,37.5,0.2884615384615384,,,,cameron heyward,DL,Ohio State,ohio state,
Derek Sherrod,,GNB,1,32,2011,Mississippi State,2009,2010,25.0,,,,,,,,,,,,,,OL,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,derek sherrod,OL,Mississippi State,mississippi state,
Ras-I Dowling,,NWE,2,33,2011,Virginia,2007,2010,40.0,,,,,,,,,,,,,,DB,Virginia,,,,,,,,,,,,,,,,,,,,,8.0,0.0,1.0,ras i dowling,DB,Virginia,virginia,
Aaron Williams,,BUF,2,34,2011,Texas,2008,2010,37.0,,,,,,,,,,,,,,DB,Texas,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,aaron williams,DB,Texas,texas,
Andy Dalton,140.7,CIN,2,35,2011,Texas Christian,2007,2010,50.0,812.0,1317.0,505.0,61.7,10314.0,71.0,30.0,5.4,2.3,7.8,7.88,12.7,206.3,QB,Texas Christian,,,,,,,,,,,,,,,,,,,,,,,,andy dalton,QB,Texas Christian,texas christian,
Colin Kaepernick,142.5,SFO,2,36,2011,Nevada,2007,2010,51.0,740.0,1271.0,531.0,58.2,10098.0,82.0,24.0,6.5,1.9,7.9,8.39,13.6,198.0,QB,Nevada,,,,,,,,,,,,,,,,,,,,,,,,colin kaepernick,QB,Nevada,nevada,3.0
Jabaal Sheard,,CLE,2,37,2011,Pitt,2007,2010,45.0,,,,,,,,,,,,,,DL,Pitt,,,,,,,,,,,,,,,19.0,82.0,60.0,142.0,35.5,0.4222222222222222,,,,jabaal sheard,DL,Pitt,pitt,
Ryan Williams,,CRD,2,38,2011,Virginia Tech,2009,2010,23.0,,,,,,,,,,,,,,RB,Virginia Tech,92.7,403.0,2132.0,5.3,30.0,26.0,11.1,2.0,12.6,,,,,,,,,,,,,,,ryan williams,RB,Virginia Tech,virginia tech,91.0
Akeem Ayers,,OTI,2,39,2011,UCLA,2008,2010,37.0,,,,,,,,,,,,,,LB,UCLA,,,,,,,,,,,,,,,14.0,128.0,55.0,183.0,29.5,0.3783783783783784,,,,akeem ayers,LB,UCLA,ucla,
Bruce Carter,,DAL,2,40,2011,North Carolina,2007,2010,49.0,,,,,,,,,,,,,,LB,North Carolina,,,,,,,,,,,,,,,9.0,146.0,69.0,215.0,24.0,0.1836734693877551,,,,bruce carter,LB,North Carolina,north carolina,
Jarvis Jenkins,,WAS,2,41,2011,Clemson,2007,2010,49.0,,,,,,,,,,,,,,DL,Clemson,,,,,,,,,,,,,,,4.0,59.0,56.0,115.0,24.5,0.0816326530612244,,,,jarvis jenkins,DL,Clemson,clemson,
Brooks Reed,,HTX,2,42,2011,Arizona,2007,2010,45.0,,,,,,,,,,,,,,DL,Arizona,,,,,,,,,,,,,,,17.0,75.0,39.0,114.0,25.0,0.3777777777777777,,,,brooks reed,DL,Arizona,arizona,
Kyle Rudolph,,MIN,2,43,2011,Notre Dame,2008,2010,29.0,,,,,,,,,,,,,,TE,Notre Dame,,,,,,,,,,35.6,90.0,1032.0,11.5,8.0,,,,,,,,,,kyle rudolph,TE,Notre Dame,notre dame,207.0
Titus Young,,DET,2,44,2011,Boise State,2007,2010,43.0,,,,,,,,,,,,,,WR,Boise State,,,,,,,,,,71.2,204.0,3063.0,15.0,25.0,,,,,,,,,,titus young,WR,Boise State,boise state,
Rahim Moore,,DEN,2,45,2011,UCLA,2008,2010,37.0,,,,,,,,,,,,,,DB,UCLA,,,,,,,,,,,,,,,,,,,,,14.0,0.0,0.0,rahim moore,DB,UCLA,ucla,
Orlando Franklin,,DEN,2,46,2011,Miami (FL),2009,2010,26.0,,,,,,,,,,,,,,OL,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,orlando franklin,OL,Miami (FL),miami (fl),
Lance Kendricks,,RAM,2,47,2011,Wisconsin,2008,2010,33.0,,,,,,,,,,,,,,WR,Wisconsin,,,,,,,,,,35.2,78.0,1160.0,14.9,8.0,,,,,,,,,,lance kendricks,WR,Wisconsin,wisconsin,
Marcus Gilchrist,,SDG,2,50,2011,Clemson,2007,2010,53.0,,,,,,,,,,,,,,DB,Clemson,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,marcus gilchrist,DB,Clemson,clemson,
Da'Quan Bowers,,TAM,2,51,2011,Clemson,2008,2010,38.0,,,,,,,,,,,,,,DL,Clemson,,,,,,,,,,,,,,,19.0,89.0,61.0,150.0,44.5,0.5,,,,da quan bowers,DL,Clemson,clemson,
Marvin Austin,,NYG,2,52,2011,North Carolina,2007,2009,38.0,,,,,,,,,,,,,,DL,North Carolina,,,,,,,,,,,,,,,9.0,59.0,47.0,106.0,13.5,0.2368421052631578,,,,marvin austin,DL,North Carolina,north carolina,
Stephen Paea,,CHI,2,53,2011,Oregon State,2008,2010,38.0,,,,,,,,,,,,,,DL,Oregon State,,,,,,,,,,,,,,,14.0,56.0,73.0,129.0,29.5,0.3684210526315789,,,,stephen paea,DL,Oregon State,oregon state,
Jaiquawn Jarrett,,PHI,2,54,2011,Temple,2007,2010,49.0,,,,,,,,,,,,,,DB,Temple,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,jaiquawn jarrett,DB,Temple,temple,
Rodney Hudson,,KAN,2,55,2011,Florida State,2009,2010,25.0,,,,,,,,,,,,,,OL,Florida State,,,,,,,,,,,,,,,,,,,,,,,,rodney hudson,OL,Florida State,florida state,
Shane Vereen,,NWE,2,56,2011,California,2008,2010,38.0,,,,,,,,,,,,,,RB,California,74.6,556.0,2834.0,5.1,29.0,74.0,9.1,6.0,17.7,,,,,,,,,,,,,,,shane vereen,RB,California,california,89.0
Mikel Leshoure,,DET,2,57,2011,Illinois,2008,2010,33.0,,,,,,,,,,,,,,RB,Illinois,77.5,424.0,2557.0,6.0,23.0,37.0,11.9,5.0,13.3,,,,,,,,,,,,,,,mikel leshoure,RB,Illinois,illinois,83.0
Torrey Smith,,RAV,2,58,2011,Maryland,2008,2010,38.0,,,,,,,,,,,,,,WR,Maryland,,,,,,,,,,58.3,152.0,2215.0,14.6,19.0,,,,,,,,,,torrey smith,WR,Maryland,maryland,307.0
Greg Little,,CLE,2,59,2011,North Carolina,2008,2008,13.0,,,,,,,,,,,,,,RB,North Carolina,26.1,78.0,339.0,4.3,3.0,11.0,13.3,0.0,11.2,,,,,,,,,,,,,,,greg little,RB,North Carolina,north carolina,
Greg Little,,CLE,2,59,2011,North Carolina,2007,2009,24.0,,,,,,,,,,,,,,WR,North Carolina,,,,,,,,,,34.3,75.0,823.0,11.0,6.0,,,,,,,,,,greg little,WR,North Carolina,north carolina,302.0
Brandon Harris,,HTX,2,60,2011,Miami (FL),2008,2010,39.0,,,,,,,,,,,,,,DB,Miami (FL),,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,brandon harris,DB,Miami (FL),miami (fl),
Jonas Mouton,,SDG,2,61,2011,Michigan,2007,2010,44.0,,,,,,,,,,,,,,LB,Michigan,,,,,,,,,,,,,,,3.0,124.0,140.0,264.0,18.0,0.0681818181818181,,,,jonas mouton,LB,Michigan,michigan,
Daniel Thomas,,MIA,2,62,2011,Kansas State,2009,2010,25.0,,,,,,,,,,,,,,RB,Kansas State,114.0,545.0,2850.0,5.2,30.0,52.0,8.2,0.0,17.1,,,,,,,,,,,,,,,daniel thomas,RB,Kansas State,kansas state,
Marcus Gilbert,,PIT,2,63,2011,Florida,2010,2010,13.0,,,,,,,,,,,,,,OL,Florida,,,,,,,,,,,,,,,,,,,,,,,,marcus gilbert,OL,Florida,florida,
Randall Cobb,95.2,GNB,2,64,2011,Kentucky,2008,2009,23.0,57.0,112.0,55.0,50.9,631.0,2.0,5.0,1.8,4.5,5.6,3.98,11.1,27.4,QB,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,randall cobb,QB,Kentucky,kentucky,
Randall Cobb,,GNB,2,64,2011,Kentucky,2010,2010,13.0,,,,,,,,,,,,,,WR,Kentucky,,,,,,,,,,78.2,84.0,1017.0,12.1,7.0,,,,,,,,,,randall cobb,WR,Kentucky,kentucky,294.0
Terrell McClain,,CAR,3,65,2011,South Florida,2007,2010,48.0,,,,,,,,,,,,,,DL,South Florida,,,,,,,,,,,,,,,7.0,59.0,29.0,88.0,17.0,0.1458333333333333,,,,terrell mcclain,DL,South Florida,south florida,
Dontay Moch,,CIN,3,66,2011,Nevada,2007,2010,53.0,,,,,,,,,,,,,,LB,Nevada,,,,,,,,,,,,,,,30.0,120.0,68.0,188.0,62.5,0.5660377358490566,,,,dontay moch,LB,Nevada,nevada,
Dontay Moch,,CIN,3,66,2011,Nevada,2006,2006,1.0,,,,,,,,,,,,,,DB,Nevada,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,dontay moch,DB,Nevada,nevada,
Nate Irving,,DEN,3,67,2011,North Carolina State,2007,2010,34.0,,,,,,,,,,,,,,LB,North Carolina State,,,,,,,,,,,,,,,9.0,116.0,98.0,214.0,40.0,0.2647058823529412,,,,nate irving,LB,North Carolina State,north carolina state,
Kelvin Sheppard,,BUF,3,68,2011,LSU,2007,2010,53.0,,,,,,,,,,,,,,LB,LSU,,,,,,,,,,,,,,,5.0,136.0,175.0,311.0,26.0,0.0943396226415094,,,,kelvin sheppard,LB,LSU,lsu,
Rob Housler,,CRD,3,69,2011,Florida Atlantic,2006,2010,49.0,,,,,,,,,,,,,,TE,Florida Atlantic,,,,,,,,,,25.1,78.0,1228.0,15.7,8.0,,,,,,,,,,rob housler,TE,Florida Atlantic,florida atlantic,205.0
Justin Houston,,KAN,3,70,2011,Georgia,2008,2010,36.0,,,,,,,,,,,,,,LB,Georgia,,,,,,,,,,,,,,,20.0,72.0,53.0,125.0,38.0,0.5555555555555556,,,,justin houston,LB,Georgia,georgia,
Demarco Murray,,DAL,3,71,2011,Oklahoma,2007,2010,50.0,,,,,,,,,,,,,,RB,Oklahoma,73.7,759.0,3685.0,4.9,50.0,157.0,10.0,13.0,31.4,,,,,,,,,,,,,,,demarco murray,RB,Oklahoma,oklahoma,85.0
Martez Wilson,,NOR,3,72,2011,Illinois,2007,2010,39.0,,,,,,,,,,,,,,LB,Illinois,,,,,,,,,,,,,,,9.0,102.0,121.0,223.0,20.0,0.2307692307692307,,,,martez wilson,LB,Illinois,illinois,
Stevan Ridley,,NWE,3,73,2011,LSU,2008,2010,39.0,,,,,,,,,,,,,,RB,LSU,36.4,306.0,1419.0,4.6,19.0,17.0,5.5,0.0,2.4,,,,,,,,,,,,,,,stevan ridley,RB,LSU,lsu,87.0
Ryan Mallett,150.4,NWE,3,74,2011,Arkansas,2007,2010,37.0,552.0,955.0,403.0,57.8,8385.0,69.0,24.0,7.2,2.5,8.8,9.09,15.2,226.6,QB,ArkansasMichigan,,,,,,,,,,,,,,,,,,,,,,,,ryan mallett,QB,Arkansas,arkansas,5.0
Jurrell Casey,,OTI,3,77,2011,USC,2008,2010,38.0,,,,,,,,,,,,,,DL,USC,,,,,,,,,,,,,,,9.0,59.0,79.0,138.0,22.0,0.2368421052631578,,,,jurrell casey,DL,USC,usc,
Austin Pettis,,RAM,3,78,2011,Boise State,2007,2010,52.0,,,,,,,,,,,,,,WR,Boise State,,,,,,,,,,54.6,229.0,2838.0,12.4,39.0,,,,,,,,,,austin pettis,WR,Boise State,boise state,
Leonard Hankerson,,WAS,3,79,2011,Miami (FL),2007,2010,42.0,,,,,,,,,,,,,,WR,Miami (FL),,,,,,,,,,51.4,134.0,2160.0,16.1,22.0,,,,,,,,,,leonard hankerson,WR,Miami (FL),miami (fl),298.0
Chris Culliver,,SFO,3,80,2011,South Carolina,2007,2007,11.0,,,,,,,,,,,,,,WR,South Carolina,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,chris culliver,WR,South Carolina,south carolina,
Chris Culliver,,SFO,3,80,2011,South Carolina,2008,2010,32.0,,,,,,,,,,,,,,DB,South Carolina,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,chris culliver,DB,South Carolina,south carolina,
Demarcus Van Dyke,,RAI,3,81,2011,Miami (FL),2007,2010,50.0,,,,,,,,,,,,,,DB,Miami (FL),,,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,demarcus van dyke,DB,Miami (FL),miami (fl),
Vincent Brown,,SDG,3,82,2011,San Diego State,2007,2010,44.0,,,,,,,,,,,,,,WR,San Diego State,,,,,,,,,,70.7,209.0,3110.0,14.9,23.0,,,,,,,,,,vincent brown,WR,San Diego State,san diego state,
Jerrel Jernigan,,NYG,3,83,2011,Troy,2007,2010,50.0,,,,,,,,,,,,,,WR,Troy,,,,,,,,,,62.6,262.0,3128.0,11.9,18.0,,,,,,,,,,jerrel jernigan,WR,Troy,troy,300.0
Mason Foster,,TAM,3,84,2011,Washington,2007,2010,50.0,,,,,,,,,,,,,,LB,Washington,,,,,,,,,,,,,,,10.0,243.0,135.0,378.0,38.5,0.2,,,,mason foster,LB,Washington,washington,
Allen Bailey,,KAN,3,86,2011,Miami (FL),2007,2010,50.0,,,,,,,,,,,,,,LB,Miami (FL),,,,,,,,,,,,,,,19.0,58.0,49.0,107.0,31.0,0.38,,,,allen bailey,LB,Miami (FL),miami (fl),
Drake Nevis,,CLT,3,87,2011,LSU,2007,2010,44.0,,,,,,,,,,,,,,DL,LSU,,,,,,,,,,,,,,,10.0,75.0,64.0,139.0,31.5,0.2272727272727272,,,,drake nevis,DL,LSU,lsu,
Johnny Patrick,,NOR,3,88,2011,Louisville,2007,2009,33.0,,,,,,,,,,,,,,WR,Louisville,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,johnny patrick,WR,Louisville,louisville,
Johnny Patrick,,NOR,3,88,2011,Louisville,2010,2010,13.0,,,,,,,,,,,,,,DB,Louisville,,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,johnny patrick,DB,Louisville,louisville,
Shareece Wright,,SDG,3,89,2011,USC,2006,2010,35.0,,,,,,,,,,,,,,DB,USC,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10.0,shareece wright,DB,USC,usc,
Curtis Marsh,,PHI,3,90,2011,Utah State,2007,2008,22.0,,,,,,,,,,,,,,RB,Utah State,22.1,124.0,487.0,3.9,4.0,28.0,7.5,1.0,9.5,,,,,,,,,,,,,,,curtis marsh,RB,Utah State,utah state,
Curtis Marsh,,PHI,3,90,2011,Utah State,2009,2010,24.0,,,,,,,,,,,,,,DB,Utah State,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,curtis marsh,DB,Utah State,utah state,
Akeem Dent,,ATL,3,91,2011,Georgia,2007,2010,47.0,,,,,,,,,,,,,,LB,Georgia,,,,,,,,,,,,,,,4.0,135.0,105.0,240.0,12.5,0.0851063829787234,,,,akeem dent,LB,Georgia,georgia,
Joseph Barksdale,,RAI,3,92,2011,LSU,2008,2008,13.0,,,,,,,,,,,,,,OL,LSU,,,,,,,,,,,,,,,,,,,,,,,,joseph barksdale,OL,LSU,lsu,
Chris Conte,,CHI,3,93,2011,California,2007,2010,49.0,,,,,,,,,,,,,,DB,California,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,chris conte,DB,California,california,
Curtis Brown,,PIT,3,95,2011,Texas,2007,2010,52.0,,,,,,,,,,,,,,DB,Texas,,,,,,,,,,,,,,,,,,,,,2.0,1.0,6.0,curtis brown,DB,Texas,texas,
Alex Green,,GNB,3,96,2011,Hawaii,2009,2010,27.0,,,,,,,,,,,,,,RB,Hawaii,61.2,232.0,1652.0,7.1,20.0,38.0,12.1,2.0,17.1,,,,,,,,,,,,,,,alex green,RB,Hawaii,hawaii,78.0
Sione Fua,,CAR,3,97,2011,Stanford,2006,2010,50.0,,,,,,,,,,,,,,DL,Stanford,,,,,,,,,,,,,,,9.0,37.0,43.0,80.0,16.0,0.18,,,,sione fua,DL,Stanford,stanford,
Brandon Hogan,,CAR,4,98,2011,West Virginia,2007,2009,33.0,,,,,,,,,,,,,,WR,West Virginia,,,,,,,,,,2.0,12.0,67.0,5.6,0.0,,,,,,,,,,brandon hogan,WR,West Virginia,west virginia,
Brandon Hogan,,CAR,4,98,2011,West Virginia,2010,2010,11.0,,,,,,,,,,,,,,DB,West Virginia,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,brandon hogan,DB,West Virginia,west virginia,
K.J. Wright,,SEA,4,99,2011,Mississippi State,2007,2010,47.0,,,,,,,,,,,,,,LB,Mississippi State,,,,,,,,,,,,,,,8.0,131.0,127.0,258.0,22.5,0.1702127659574468,,,,k j wright,LB,Mississippi State,mississippi state,
Da'Norris Searcy,,BUF,4,100,2011,North Carolina,2007,2010,35.0,,,,,,,,,,,,,,DB,North Carolina,,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,da norris searcy,DB,North Carolina,north carolina,
Clint Boling,,CIN,4,101,2011,Georgia,2007,2008,25.0,,,,,,,,,,,,,,OL,Georgia,,,,,,,,,,,,,,,,,,,,,,,,clint boling,OL,Georgia,georgia,
Jordan Cameron,,CLE,4,102,2011,USC,2010,2010,12.0,,,,,,,,,,,,,,TE,USC,,,,,,,,,,10.5,16.0,126.0,7.9,1.0,,,,,,,,,,jordan cameron,TE,USC,usc,
Sam Acho,,CRD,4,103,2011,Texas,2007,2010,49.0,,,,,,,,,,,,,,DL,Texas,,,,,,,,,,,,,,,21.0,93.0,44.0,137.0,32.5,0.4285714285714285,,,,sam acho,DL,Texas,texas,
Luke Stocker,,TAM,4,104,2011,Tennessee,2007,2010,52.0,,,,,,,,,,,,,,TE,Tennessee,,,,,,,,,,18.4,85.0,956.0,11.2,8.0,,,,,,,,,,luke stocker,TE,Tennessee,tennessee,209.0
Roy Helu Jr.,,WAS,4,105,2011,Nebraska,2007,2010,48.0,,,,,,,,,,,,,,RB,Nebraska,70.9,578.0,3404.0,5.9,28.0,54.0,9.3,0.0,10.4,,,,,,,,,,,,,,,roy helu,RB,Nebraska,nebraska,80.0
Christian Ballard,,MIN,4,106,2011,Iowa,2007,2010,49.0,,,,,,,,,,,,,,DL,Iowa,,,,,,,,,,,,,,,12.0,60.0,93.0,153.0,21.5,0.2448979591836734,,,,christian ballard,DL,Iowa,iowa,
Kris Durham,,SEA,4,107,2011,Georgia,2006,2010,47.0,,,,,,,,,,,,,,WR,Georgia,,,,,,,,,,23.6,64.0,1109.0,17.3,4.0,,,,,,,,,,kris durham,WR,Georgia,georgia,
Quinton Carter,,DEN,4,108,2011,Oklahoma,2006,2010,44.0,,,,,,,,,,,,,,DB,Oklahoma,,,,,,,,,,,,,,,,,,,,,8.0,0.0,2.0,quinton carter,DB,Oklahoma,oklahoma,
Colin McCarthy,,OTI,4,109,2011,Miami (FL),2006,2010,48.0,,,,,,,,,,,,,,LB,Miami (FL),,,,,,,,,,,,,,,5.0,159.0,146.0,305.0,35.0,0.1041666666666666,,,,colin mccarthy,LB,Miami (FL),miami (fl),
